Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,ApplicantIncome_log,CoapplicantIncome_log,LoanAmount_log,Total_Income_log,Property_Area_Semiurban,Property_Area_Urban
1,1,0,1,0,84.0,1.0,7.336285660021297,6.951772164398911,2.302585092994046,7.855157005881344,False,True
1,1,1,1,1,360.0,1.0,8.193953023563742,6.92951677076365,2.302585092994046,8.442469645220301,False,True
1,1,0,1,0,360.0,1.0,7.925518979786926,6.985641817639208,2.3978952727983707,8.255048902752295,False,True
0,0,0,1,0,360.0,1.0,8.10258642539079,0.0,2.302585092994046,8.10258642539079,False,False
0,1,3,1,0,360.0,0.0,9.054388070202297,8.640472207576408,2.302585092994046,9.561771591591862,False,True
1,0,1,1,0,360.0,1.0,9.232590980911002,0.0,3.6375861597263857,9.232590980911002,False,False
1,1,0,1,0,360.0,1.0,8.711443319075466,6.218600119691729,2.772588722239781,8.790725628263576,False,False
0,1,2,1,0,360.0,1.0,7.870547844507712,7.513163545234075,2.302585092994046,8.400659375160286,False,True
0,0,1,0,0,360.0,1.0,7.990238185720363,0.0,2.4849066497880004,7.990238185720363,True,False
1,1,2,1,0,300.0,0.0,9.097395612960048,6.790097235513905,2.6390573296152584,9.192176401348512,False,False
1,1,0,1,0,360.0,0.0,7.174724309836376,8.014996894348302,2.302585092994046,8.373553741214627,False,False
1,1,1,0,0,360.0,0.0,8.486940148245216,6.987490247000991,2.70805020110221,8.688285266258642,False,True
1,1,0,1,0,360.0,0.0,7.431299675155903,8.431417414394833,2.302585092994046,8.744488113852922,False,False
1,0,0,1,0,360.0,1.0,8.477412321404392,0.0,2.70805020110221,8.477412321404392,False,False
1,0,1,1,0,360.0,1.0,8.050384453067021,0.0,2.302585092994046,8.050384453067021,False,True
0,1,2,0,0,360.0,1.0,7.820037989458753,7.655864017616056,2.302585092994046,8.434246270595311,True,False
1,1,0,1,0,360.0,1.0,8.154212694914229,7.229113877793302,2.302585092994046,8.487970332739334,False,False
0,1,0,1,0,360.0,1.0,8.739216115061744,6.838405200847344,2.302585092994046,8.878358040627822,True,False
